workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP,SPEC_speed_score
500.perlbench_r,379119793587,1604649323,877162115812,74061651402,1757297999,2174,9285007,97.25,3.58,499.273,2.06,1.36,0.9290912759
500.perlbench_r,385887364416,1635410553,892702791687,75414435751,1788790488,2205,9459331,97.273,3.58,499.333,2.06,1.36,0.9290912759
500.perlbench_r,392645139354,1663825488,908219350551,76740152161,1819460304,2237,9627882,97.253,3.58,499.337,2.06,1.36,0.9290912759
500.perlbench_r,399386560888,1694893019,923396375923,78128836925,1850182845,2271,9799384,97.23,3.58,499.287,2.06,1.36,0.9290912759
500.perlbench_r,406132180630,1718542326,939434668934,79326954133,1880380582,2306,9930687,97.24,3.58,499.297,2.06,1.36,0.9290912759
500.perlbench_r,412901657187,1746129698,955138035080,80609255499,1910918693,2329,10082580,97.253,3.58,499.897,2.06,1.36,0.9290912759
500.perlbench_r,419680487419,1776769019,970919205145,81934866770,1942221735,2362,10250355,97.27,3.58,500.36,2.06,1.36,0.9290912759
500.perlbench_r,426448463955,1807309944,986463701932,83292448929,1973942132,2392,10421745,97.253,3.58,499.847,2.06,1.36,0.9290912759
500.perlbench_r,433211979228,1834118911,1002432288347,84552848410,2005777236,2416,10572675,97.273,3.58,500.03,2.06,1.36,0.9290912759
500.perlbench_r,439971130051,1863548692,1018083467193,85875548142,2037057469,2436,10729497,97.28,3.58,499.913,2.06,1.36,0.9290912759
500.perlbench_r,446732280587,1895418557,1033406501100,87270157961,2068937149,2450,10910533,97.287,3.58,499.92,2.06,1.36,0.9290912759
500.perlbench_r,453501890900,1926423350,1048961541835,88632172951,2100904245,2457,11084549,97.26,3.58,499.63,2.06,1.36,0.9290912759
500.perlbench_r,460269078790,1955505228,1064646305762,89963221589,2132213999,2464,11263499,97.287,3.58,499.723,2.06,1.36,0.9290912759
500.perlbench_r,467053882858,1980438541,1081069623299,91173354683,2162929517,2473,11407368,97.29,3.58,499.61,2.06,1.36,0.9290912759
500.perlbench_r,473823987532,2008491294,1096929701775,92466800977,2194510080,2505,11561201,97.353,3.58,500.197,2.06,1.36,0.9290912759
500.perlbench_r,480585482585,2036468250,1112525753564,93784772420,2225749908,2528,11729534,97.33,3.58,499.897,2.06,1.36,0.9290912759
500.perlbench_r,487340431347,2063421548,1128313797902,95063542089,2257098039,2549,11885754,97.323,3.58,500.087,2.06,1.36,0.9290912759
500.perlbench_r,494075054804,2091795493,1143889718797,96377893594,2288499014,2569,12044506,97.33,3.58,500.16,2.06,1.36,0.9290912759
500.perlbench_r,500803646851,2117582744,1159851049593,97620451343,2319456403,2593,12198187,97.323,3.58,500.087,2.06,1.36,0.9290912759
500.perlbench_r,507534030282,2146695863,1175299350091,98972413988,2350842755,2614,12369893,97.337,3.58,500.313,2.06,1.36,0.9290912759
